video_id,title,published,duration_seconds,url,docx,json,summary_preview
8IeZ41DIGLg,'PESTA BABI' DANDHY DWI LAKSONO. SKENARIO KONGLOMERAT HITAM DI PAPUA GUNAKAN TNI.,20260413,3457,https://www.youtube.com/watch?v=8IeZ41DIGLg,akbarfaizaluncensored/20260413_PESTA BABI DANDHY DWI LAKSONO SKENARIO KONGLOMERAT HITAM DI_8IeZ41DIGLg.docx,akbarfaizaluncensored/20260413_PESTA BABI DANDHY DWI LAKSONO SKENARIO KONGLOMERAT HITAM DI_8IeZ41DIGLg.json,"## Overview This video features a discussion between host Akbar Faizal and Dhandy Dwi Laksono, a recipient of the Ramon Magsaysay Award, focusing on the evolving role of visual media in political discourse and activism in Indonesia. The conversation touches upon the impact of Artificial Intelligence"
Yt5SAkosAqo,SISTEM DATA NASIONAL KACAU. EKSEKUSI PROGRAM PEMERINTAHAN JADI AMBURADUL,20260401,3129,https://www.youtube.com/watch?v=Yt5SAkosAqo,akbarfaizaluncensored/20260401_SISTEM DATA NASIONAL KACAU EKSEKUSI PROGRAM PEMERINTAHAN JAD_Yt5SAkosAqo.docx,akbarfaizaluncensored/20260401_SISTEM DATA NASIONAL KACAU EKSEKUSI PROGRAM PEMERINTAHAN JAD_Yt5SAkosAqo.json,"## Email Summary **Overview** This video discusses the critical state of Indonesia's national data system, highlighting extensive data leaks and the resultant chaos in government program execution. Host Akbar Faisal and DPR member Rika Kartika delve into the severity of data breaches, including thos"
jAq8bfPi2bA,KARNI 'PRESIDEN ILC' ILYAS. KESAKSIAN ATAS 7 PRESIDEN,20260322,3360,https://www.youtube.com/watch?v=jAq8bfPi2bA,akbarfaizaluncensored/20260322_KARNI PRESIDEN ILC ILYAS KESAKSIAN ATAS 7 PRESIDEN_jAq8bfPi2bA.docx,akbarfaizaluncensored/20260322_KARNI PRESIDEN ILC ILYAS KESAKSIAN ATAS 7 PRESIDEN_jAq8bfPi2bA.json,"## Overview Veteran journalist Karni Ilyas, often dubbed the ""President of ILC"" (Indonesia Lawyers Club), shares his extensive experience covering seven Indonesian presidents on the ""akbarfaizaluncensored"" channel. The discussion delves into the evolution of press freedom and the media's relationshi"
Aw538x-rrhY,"AIR KERAS 'PUKULAN' BAGI PARA AKTIVIS. ""KALAUPUN MATI SEPERTI MUNIR, SAYA SIAP""",20260318,3654,https://www.youtube.com/watch?v=Aw538x-rrhY,akbarfaizaluncensored/20260318_AIR KERAS PUKULAN BAGI PARA AKTIVIS KALAUPUN MATI SEPERTI MU_Aw538x-rrhY.docx,akbarfaizaluncensored/20260318_AIR KERAS PUKULAN BAGI PARA AKTIVIS KALAUPUN MATI SEPERTI MU_Aw538x-rrhY.json,"===== OUTPUT 1: EMAIL SUMMARY ===== ## Overview This video features a discussion about the attack on democracy activist Andri Yunus, who was doused with acid. The conversation, hosted by Akbar Faizal, includes Usman Hamid of Amnesty International Indonesia and Fadil Al Fattan from LBH (Legal Aid Fou"
ekGofGQAVpk,SAYA DUKUNG PRABOWO TAPI SAYA TOLAK BOP,20260313,2483,https://www.youtube.com/watch?v=ekGofGQAVpk,akbarfaizaluncensored/20260313_SAYA DUKUNG PRABOWO TAPI SAYA TOLAK BOP_ekGofGQAVpk.docx,akbarfaizaluncensored/20260313_SAYA DUKUNG PRABOWO TAPI SAYA TOLAK BOP_ekGofGQAVpk.json,"# OUTPUT 1: EMAIL SUMMARY ## Overview This video features Akbar Faizal discussing Indonesia's potential involvement in the ""Board of Peace"" (BOP) initiative and his reservations about it. He expresses concern that Indonesia's participation is poorly timed and executed, particularly in light of recen"
0SXg8a_G7TI,"FELIX SIAUW BICARA GEOPOLITIK NEGARA ISLAM. ""TRUMP ITU SEORANG KHALIFAH""",20260310,3261,https://www.youtube.com/watch?v=0SXg8a_G7TI,akbarfaizaluncensored/20260310_FELIX SIAUW BICARA GEOPOLITIK NEGARA ISLAM TRUMP ITU SEORANG_0SXg8a_G7TI.docx,akbarfaizaluncensored/20260310_FELIX SIAUW BICARA GEOPOLITIK NEGARA ISLAM TRUMP ITU SEORANG_0SXg8a_G7TI.json,"Sure, here is the summary and analysis of the provided YouTube transcript: ## **Email Summary** ### Overview This interview features host Akbar Faizal and guest Felix Siauw discussing the intersection of religion and politics, particularly from an Islamic perspective. Siauw argues that politics, der"
Rvigkk1tA5c,"ARIEF HIDAYAT DAN PUTUSAN MK 90, JALAN GIBRAN JADI WAPRES. ""BATIN SAYA MENANGIS, HAKIM MAIN POLITIK""",20260306,3517,https://www.youtube.com/watch?v=Rvigkk1tA5c,akbarfaizaluncensored/20260306_ARIEF HIDAYAT DAN PUTUSAN MK 90 JALAN GIBRAN JADI WAPRES BAT_Rvigkk1tA5c.docx,akbarfaizaluncensored/20260306_ARIEF HIDAYAT DAN PUTUSAN MK 90 JALAN GIBRAN JADI WAPRES BAT_Rvigkk1tA5c.json,"## OUTPUT 1: EMAIL SUMMARY ## Overview This interview features Arief Hidayat, a former Constitutional Court Justice, discussing the controversial MK (Mahkamah Konstitusi - Constitutional Court) Decision 90, which paved the way for Gibran Rakabuming Raka's vice-presidential candidacy. Hidayat express"
nnNP6UnwyJU,EMPAT LANGKAH MENUJU PERANG DUNIA III. IRAN TAKKAN MAMPU BERTAHAN,20260303,3568,https://www.youtube.com/watch?v=nnNP6UnwyJU,akbarfaizaluncensored/20260303_EMPAT LANGKAH MENUJU PERANG DUNIA III IRAN TAKKAN MAMPU BERT_nnNP6UnwyJU.docx,akbarfaizaluncensored/20260303_EMPAT LANGKAH MENUJU PERANG DUNIA III IRAN TAKKAN MAMPU BERT_nnNP6UnwyJU.json,"Certainly, here's the summary of the provided YouTube video transcript. ## OUTPUT 1: EMAIL SUMMARY ## Overview This video features a discussion between host Akbar Faizal and guest Andi Wijayanto, a former Governor of the Indonesian National Resilience Institute (Lemhanas), analyzing the potential im"
7eV637skqNE,MENGGUGAT TENTAKEL POLITIK DEWAS BPJS. 1100 TRILIUN DANA PUBLIK JADI PERTARUHAN,20260223,3297,https://www.youtube.com/watch?v=7eV637skqNE,akbarfaizaluncensored/20260223_MENGGUGAT TENTAKEL POLITIK DEWAS BPJS 1100 TRILIUN DANA PUBL_7eV637skqNE.docx,akbarfaizaluncensored/20260223_MENGGUGAT TENTAKEL POLITIK DEWAS BPJS 1100 TRILIUN DANA PUBL_7eV637skqNE.json,"## Overview This video from akbarfaizaluncensored critically examines the selection process for the Supervisory Board (Dewas) and Directors of BPJS Health and BPJS Employment, two national social security programs that collectively manage over IDR 1,100 trillion in public funds. Featuring a selectio"
cXCBBlP0uYM,"MENTERI KEBUDAYAAN, FADLI ZON. ""JOKOWI SUDAH SELESAI""",20260218,3830,https://www.youtube.com/watch?v=cXCBBlP0uYM,akbarfaizaluncensored/20260218_MENTERI KEBUDAYAAN FADLI ZON JOKOWI SUDAH SELESAI_cXCBBlP0uYM.docx,akbarfaizaluncensored/20260218_MENTERI KEBUDAYAAN FADLI ZON JOKOWI SUDAH SELESAI_cXCBBlP0uYM.json,"## Overview This video features an interview with Fadli Zon, a prominent Indonesian politician and Deputy Chairman of the Gerindra Party, who is repeatedly referred to by the host as the ""Minister of Culture."" In the discussion, Zon declares that the era of former President Joko Widodo is ""over,"" an"
zQVjU8vk5R0,"KETEMU PRABOWO, SAID DIDU BUKA INFO RAHASIA. ""KAPOLRI BARU, PSI HINGGA TAK NYAMAN DENGAN GIBRAN""",20260214,3529,https://www.youtube.com/watch?v=zQVjU8vk5R0,akbarfaizaluncensored/20260214_KETEMU PRABOWO SAID DIDU BUKA INFO RAHASIA KAPOLRI BARU PSI_zQVjU8vk5R0.docx,akbarfaizaluncensored/20260214_KETEMU PRABOWO SAID DIDU BUKA INFO RAHASIA KAPOLRI BARU PSI_zQVjU8vk5R0.json,"**OUTPUT 1: EMAIL SUMMARY** ## Overview Former government official and outspoken critic Said Didu shared insights from a recent private meeting with President Prabowo, painting a detailed picture of the new administration's priorities and challenges. Didu revealed that Prabowo is deeply aware of sys"
uHPGDhRTrD0,"MEUTYA HAFID MENJAWAB GUGATAN PUBLIK. ""NAIF JIKA ANGGAP TAK ADA INTERVENSI ASING""",20260212,3957,https://www.youtube.com/watch?v=uHPGDhRTrD0,akbarfaizaluncensored/20260212_MEUTYA HAFID MENJAWAB GUGATAN PUBLIK NAIF JIKA ANGGAP TAK AD_uHPGDhRTrD0.docx,akbarfaizaluncensored/20260212_MEUTYA HAFID MENJAWAB GUGATAN PUBLIK NAIF JIKA ANGGAP TAK AD_uHPGDhRTrD0.json,"## Overview In a comprehensive interview on ""akbarfaizaluncensored,"" Minister of Communication and Digital Information (Komdiggi) Meutya Hafid articulated the ministry's broad mandate, encompassing the development of digital infrastructure, fostering a robust digital economy, and securing the online"
Yl5dD6VISlY,"MENGGUGAT KINERJA QODARI, KEPALA STAF PRESIDEN",20260126,3307,https://www.youtube.com/watch?v=Yl5dD6VISlY,akbarfaizaluncensored/20260126_MENGGUGAT KINERJA QODARI KEPALA STAF PRESIDEN_Yl5dD6VISlY.docx,akbarfaizaluncensored/20260126_MENGGUGAT KINERJA QODARI KEPALA STAF PRESIDEN_Yl5dD6VISlY.json,"**OUTPUT 1: EMAIL SUMMARY** ## Overview This video features an interview with Muhammad Qodari, the Head of the Presidential Staff Office (KSP), on the ""akbarfaizaluncensored"" channel. Qodari, who has been in the position for four months, provided a comprehensive explanation of the KSP's role, struct"
zWlzh4fdjDo,"PROF. EMIL SALIM, PEMIKIR ORBA. DULU, NEGARA DIJALANKAN DENGAN LOGIKA BUKAN POLITIK",20260119,2831,https://www.youtube.com/watch?v=zWlzh4fdjDo,akbarfaizaluncensored/20260119_PROF EMIL SALIM PEMIKIR ORBA DULU NEGARA DIJALANKAN DENGAN L_zWlzh4fdjDo.docx,akbarfaizaluncensored/20260119_PROF EMIL SALIM PEMIKIR ORBA DULU NEGARA DIJALANKAN DENGAN L_zWlzh4fdjDo.json,"## Overview This video features an interview with Professor Emil Salim, a foundational figure of Indonesia's New Order (Orde Baru) era, who served as a minister for 25 years and was instrumental in crafting key national development plans like GBHN and Repelita. Approaching 96, Prof. Salim reflects o"
kgZz0runPbU,"SKANDAL KUOTA HAJI. DIGIGIT KPK, YAQUT BUKA PERAN JOKOWI",20260114,3161,https://www.youtube.com/watch?v=kgZz0runPbU,akbarfaizaluncensored/20260114_SKANDAL KUOTA HAJI DIGIGIT KPK YAQUT BUKA PERAN JOKOWI_kgZz0runPbU.docx,akbarfaizaluncensored/20260114_SKANDAL KUOTA HAJI DIGIGIT KPK YAQUT BUKA PERAN JOKOWI_kgZz0runPbU.json,Here are the summaries of the video transcript: --- ### OUTPUT 1: EMAIL SUMMARY **Subject: Analysis: Hajj Quota Scandal - Allegations of Political Criminalization and Presidential Intervention** ## Overview This video from akbarfaizaluncensored delves into the corruption allegations against former M
Dqey5yogpBE,KEMBALI BICARA POLITIK. FAHRI HAMZAH BONGKAR DAPUR KABINET,20260112,3545,https://www.youtube.com/watch?v=Dqey5yogpBE,akbarfaizaluncensored/20260112_KEMBALI BICARA POLITIK FAHRI HAMZAH BONGKAR DAPUR KABINET_Dqey5yogpBE.docx,akbarfaizaluncensored/20260112_KEMBALI BICARA POLITIK FAHRI HAMZAH BONGKAR DAPUR KABINET_Dqey5yogpBE.json,"## Overview This video features an extensive dialogue between host Akbar Faizal and Fahri Hamzah, a prominent political figure now in an advisory role within the current administration, focusing on President Prabowo Subianto's leadership and the future direction of Indonesia. Hamzah, currently advis"
AiwuJ6r7sds,LOGIKA SESAT PILKADA KEMBALI KE DPRD. GATALNYA DI KEPALA PARPOL GARUKNYA DI HATI RAKYAT,20260109,3535,https://www.youtube.com/watch?v=AiwuJ6r7sds,akbarfaizaluncensored/20260109_LOGIKA SESAT PILKADA KEMBALI KE DPRD GATALNYA DI KEPALA PARP_AiwuJ6r7sds.docx,akbarfaizaluncensored/20260109_LOGIKA SESAT PILKADA KEMBALI KE DPRD GATALNYA DI KEPALA PARP_AiwuJ6r7sds.json,## Overview The discussion on Akbar Faizal Uncensored delves into the contentious proposal to revert regional head elections (Pilkada) from direct popular vote to selection by the Regional Legislative Council (DPRD). The video features a robust debate between Ahmad Doli Kurnia Tanjung from the Golka
aWn-imiLcwM,"PROFESOR ZAINAL ARIFIN MOCHTAR DAPAT TEROR. ""TAK SEMUA HARUS IKUT KEKUASAAN""",20260105,3314,https://www.youtube.com/watch?v=aWn-imiLcwM,akbarfaizaluncensored/20260105_PROFESOR ZAINAL ARIFIN MOCHTAR DAPAT TEROR TAK SEMUA HARUS I_aWn-imiLcwM.docx,akbarfaizaluncensored/20260105_PROFESOR ZAINAL ARIFIN MOCHTAR DAPAT TEROR TAK SEMUA HARUS I_aWn-imiLcwM.json,"===== OUTPUT 1: EMAIL SUMMARY ===== ## Overview This video features an interview with Professor Zainal Arifin Mochtar, a newly appointed professor at Gadjah Mada University (UGM) and a prominent legal scholar, conducted by Akbar Faizal. The discussion centers on the deteriorating state of democracy "
u_QQxfNXnh8,"BANJIR OPINI, MISKIN KEBIJAKSANAAN. ""NITENI"" DEMI INDONESIA KELUAR DARI JEBAKAN MASA LALU",20251230,2962,https://www.youtube.com/watch?v=u_QQxfNXnh8,akbarfaizaluncensored/20251230_BANJIR OPINI MISKIN KEBIJAKSANAAN NITENI DEMI INDONESIA KELU_u_QQxfNXnh8.docx,akbarfaizaluncensored/20251230_BANJIR OPINI MISKIN KEBIJAKSANAAN NITENI DEMI INDONESIA KELU_u_QQxfNXnh8.json,"## Overview In this insightful video from Akbar Faizal Uncensored, host Akbar Faizal engages with Fahrudin Faiz, a lecturer from the Faculty of Usuluddin at UIN Sunan Kalijaga Yogyakarta, in a deep dive into Indonesia's societal challenges and the concept of ""collective patience."" The discussion cri"
SJZsJ8T2g-E,"ANGGARAN DIPOTONG, PENDAPATAN MALAH NAIK. PRAMONO ANUNG SIAP HADAPI ANCAMAN JAKARTA TENGGELAM",20251227,2554,https://www.youtube.com/watch?v=SJZsJ8T2g-E,akbarfaizaluncensored/20251227_ANGGARAN DIPOTONG PENDAPATAN MALAH NAIK PRAMONO ANUNG SIAP H_SJZsJ8T2g-E.docx,akbarfaizaluncensored/20251227_ANGGARAN DIPOTONG PENDAPATAN MALAH NAIK PRAMONO ANUNG SIAP H_SJZsJ8T2g-E.json,"## Overview Jakarta Governor Pramono Anung, in a conversation with Akbar Faizal, provided a comprehensive update on his 10-month tenure, emphasizing a technocratic and results-oriented approach to leadership. He detailed significant progress in addressing long-standing urban issues, streamlining gov"
6_AKfc1ny6o,"NU DIRUSAK, PULUHAN MILIAR KE KANTONG ELITNYA. VIA KONSESI TAMBANG, SKENARIO CANGGIH 2029 DIMULAI",20251219,3304,https://www.youtube.com/watch?v=6_AKfc1ny6o,akbarfaizaluncensored/20251219_NU DIRUSAK PULUHAN MILIAR KE KANTONG ELITNYA VIA KONSESI TAM_6_AKfc1ny6o.docx,akbarfaizaluncensored/20251219_NU DIRUSAK PULUHAN MILIAR KE KANTONG ELITNYA VIA KONSESI TAM_6_AKfc1ny6o.json,"===== OUTPUT 1: EMAIL SUMMARY ===== ## Overview A significant internal conflict is engulfing Nahdlatul Ulama (NU), Indonesia's largest Islamic organization, reportedly stemming from a contentious mining concession granted by the government. The discussion highlights allegations that the concession, "
D7mA8tZP6Nw,"SUMATRA MENANGIS, JATAM & WALHI BUKA FAKTA. 2000-AN IZIN TAMBANG HANCURKAN GUNUNG & HUTAN",20251208,3350,https://www.youtube.com/watch?v=D7mA8tZP6Nw,akbarfaizaluncensored/20251208_SUMATRA MENANGIS JATAM  WALHI BUKA FAKTA 2000-AN IZIN TAMBAN_D7mA8tZP6Nw.docx,akbarfaizaluncensored/20251208_SUMATRA MENANGIS JATAM  WALHI BUKA FAKTA 2000-AN IZIN TAMBAN_D7mA8tZP6Nw.json,## OUTPUT 1: EMAIL SUMMARY **Subject: Analysis of Sumatra's Ecological Crisis: Government's Role and Corporate Accountability** ## Overview A recent discussion on the akbarfaizaluncensored channel brought together environmental experts from JATAM (Mining Advocacy Network) and WALHI (Indonesian Forum
-GiiNT8zCBA,"STELLA CHRISTIE BONGKAR WAJAH FEODAL PENDIDIKAN & HAMBATAN RISET. ""IQ MATIKAN RUANG GERAK ANAK""",20251204,3722,https://www.youtube.com/watch?v=-GiiNT8zCBA,akbarfaizaluncensored/20251204_STELLA CHRISTIE BONGKAR WAJAH FEODAL PENDIDIKAN  HAMBATAN RI_-GiiNT8zCBA.docx,akbarfaizaluncensored/20251204_STELLA CHRISTIE BONGKAR WAJAH FEODAL PENDIDIKAN  HAMBATAN RI_-GiiNT8zCBA.json,"## Overview Professor Stella Christie, the newly appointed Deputy Minister for Higher Education, Science, and Technology, participated in a candid discussion with Akbar Faizal about the challenges and future direction of Indonesia's education system. The conversation delved into the systemic issues "
lGonFMJFlxM,KETUA KOMISI III 'LAWAN' HOAKS KUHAP. APARAT HUKUM BELAGU TAK BISA LAGI SEMBARANGAN MAIN TANGKAP,20251130,2869,https://www.youtube.com/watch?v=lGonFMJFlxM,akbarfaizaluncensored/20251130_KETUA KOMISI III LAWAN HOAKS KUHAP APARAT HUKUM BELAGU TAK B_lGonFMJFlxM.docx,akbarfaizaluncensored/20251130_KETUA KOMISI III LAWAN HOAKS KUHAP APARAT HUKUM BELAGU TAK B_lGonFMJFlxM.json,"## Overview In this episode of ""akbarfaizaluncensored,"" host Akbar Faizal engages with Habiburrahman, Chairman of Commission III of the House of Representatives (DPR), to clarify and defend the newly ratified Criminal Procedure Code (KUHAP). After 44 years, the new KUHAP aims to revolutionize Indone"
wXP3-WJ6fnE,SHERLY TJOANDA: SKEPTISISME POLITIK DAN ANCAMAN CENGKERAMAN OLIGARKI,20251122,3089,https://www.youtube.com/watch?v=wXP3-WJ6fnE,akbarfaizaluncensored/20251122_SHERLY TJOANDA SKEPTISISME POLITIK DAN ANCAMAN CENGKERAMAN O_wXP3-WJ6fnE.docx,akbarfaizaluncensored/20251122_SHERLY TJOANDA SKEPTISISME POLITIK DAN ANCAMAN CENGKERAMAN O_wXP3-WJ6fnE.json,"## Overview This video features an interview with Sherly Tjoanda, the current Governor of North Maluku, on the Akbar Faizal Uncensored channel. The discussion primarily revolves around her unexpected entry into politics following her late husband's death, her commitment to public service, and her pe"
T9Sa-PM1q4A,OLIGARKI VS KOPERASI DESA. MEROMBAK ULANG TATA KELOLA EKONOMI NEGARA,20251117,3562,https://www.youtube.com/watch?v=T9Sa-PM1q4A,akbarfaizaluncensored/20251117_OLIGARKI VS KOPERASI DESA MEROMBAK ULANG TATA KELOLA EKONOMI_T9Sa-PM1q4A.docx,akbarfaizaluncensored/20251117_OLIGARKI VS KOPERASI DESA MEROMBAK ULANG TATA KELOLA EKONOMI_T9Sa-PM1q4A.json,"## OUTPUT 1: EMAIL SUMMARY ### Overview This video features an in-depth conversation between host Akbar Faisal and the Minister of Cooperatives, Feri Yuliantono, discussing the government's ambitious ""Koperasi Desa Merah Putih"" (Red and White Village Cooperative) program. The core message revolves a"
IVaUmfDiEfY,"KATA NATALIUS PIGAI, PRABOWO INGAT JANJI, JOKOWI? ""KEKAYAAN PARA MENTERI ITU HARUS DIRAGUKAN""",20251110,3868,https://www.youtube.com/watch?v=IVaUmfDiEfY,akbarfaizaluncensored/20251110_KATA NATALIUS PIGAI PRABOWO INGAT JANJI JOKOWI KEKAYAAN PARA_IVaUmfDiEfY.docx,akbarfaizaluncensored/20251110_KATA NATALIUS PIGAI PRABOWO INGAT JANJI JOKOWI KEKAYAAN PARA_IVaUmfDiEfY.json,"## OUTPUT 1: EMAIL SUMMARY **Overview** This video features an interview with Natalius Pigai, the Minister of Human Rights in the Prabowo Subianto administration, hosted by Akbar Faizal. Pigai, known for his outspoken and unconventional style, discussed his personal integrity, his perspective on pol"
striE0m3amw,"HASAN NASBI SOAL FAKSI MILITER-SIPIL DEKAT PRABOWO. ""SOSIAL, POLITIK, EKONOMI HARUS DI TANGAN SIPIL""",20251104,3571,https://www.youtube.com/watch?v=striE0m3amw,akbarfaizaluncensored/20251104_HASAN NASBI SOAL FAKSI MILITER-SIPIL DEKAT PRABOWO SOSIAL PO_striE0m3amw.docx,akbarfaizaluncensored/20251104_HASAN NASBI SOAL FAKSI MILITER-SIPIL DEKAT PRABOWO SOSIAL PO_striE0m3amw.json,"## Overview This video features a discussion between host Akbar Faizal and political analyst Hasan Nasbi, focusing on the shifting dynamics of power within the Indonesian government, particularly concerning the roles of military and civilian factions. The conversation highlights observed tensions an"
5KmtCmx97lE,"ROMI VS AMIR SALING SERANG, PEMERINTAH TERTUDUH. PPP PECAH LAGI, MASUK JURANG MAKIN DALAM",20251004,3472,https://www.youtube.com/watch?v=5KmtCmx97lE,akbarfaizaluncensored/20251004_ROMI VS AMIR SALING SERANG PEMERINTAH TERTUDUH PPP PECAH LAG_5KmtCmx97lE.docx,akbarfaizaluncensored/20251004_ROMI VS AMIR SALING SERANG PEMERINTAH TERTUDUH PPP PECAH LAG_5KmtCmx97lE.json,"## Overview The video from akbarfaizaluncensored delves into the deep-seated internal conflict within Indonesia's Partai Persatuan Pembangunan (PPP), following a recent party congress (Muktamar) that resulted in dual claims of leadership. The dispute intensified after the Ministry of Law and Human R"
